Timestamp,Consumption
2021-01-01 00:00:00,472.48
2021-01-01 01:00:00,479.66
2021-01-01 02:00:00,493.24
2021-01-01 03:00:00,505.9
2021-01-01 04:00:00,503.47
2021-01-01 05:00:00,507.47
2021-01-01 06:00:00,517.9
2021-01-01 07:00:00,512.47
2021-01-01 08:00:00,502.29
2021-01-01 09:00:00,501.0
2021-01-01 10:00:00,487.68
2021-01-01 11:00:00,478.02
2021-01-01 12:00:00,471.21
2021-01-01 13:00:00,450.08
2021-01-01 14:00:00,441.38
2021-01-01 15:00:00,438.9
2021-01-01 16:00:00,430.29
2021-01-01 17:00:00,432.93
2021-01-01 18:00:00,425.46
2021-01-01 19:00:00,424.3
2021-01-01 20:00:00,442.69
2021-01-01 21:00:00,440.59
2021-01-01 22:00:00,450.34
2021-01-01 23:00:00,452.52
2021-01-02 00:00:00,467.28
2021-01-02 01:00:00,480.91
2021-01-02 02:00:00,484.25
2021-01-02 03:00:00,500.16
2021-01-02 04:00:00,501.64
2021-01-02 05:00:00,507.18
2021-01-02 06:00:00,506.99
2021-01-02 07:00:00,517.9
2021-01-02 08:00:00,504.57
2021-01-02 09:00:00,493.0
2021-01-02 10:00:00,494.11
2021-01-02 11:00:00,474.25
2021-01-02 12:00:00,471.04
2021-01-02 13:00:00,449.85
2021-01-02 14:00:00,443.36
2021-01-02 15:00:00,442.7
2021-01-02 16:00:00,439.05
2021-01-02 17:00:00,432.22
2021-01-02 18:00:00,429.42
2021-01-02 19:00:00,429.86
2021-01-02 20:00:00,427.97
2021-01-02 21:00:00,438.12
2021-01-02 22:00:00,447.7
2021-01-02 23:00:00,464.93
2021-01-03 00:00:00,471.72
2021-01-03 01:00:00,471.54
2021-01-03 02:00:00,491.62
2021-01-03 03:00:00,496.36
2021-01-03 04:00:00,501.26
2021-01-03 05:00:00,511.7
2021-01-03 06:00:00,515.15
2021-01-03 07:00:00,513.29
2021-01-03 08:00:00,500.44
2021-01-03 09:00:00,496.74
2021-01-03 10:00:00,491.66
2021-01-03 11:00:00,485.23
2021-01-03 12:00:00,467.6
2021-01-03 13:00:00,458.72
2021-01-03 14:00:00,444.47
2021-01-03 15:00:00,435.73
2021-01-03 16:00:00,439.42
2021-01-03 17:00:00,438.14
2021-01-03 18:00:00,429.64
2021-01-03 19:00:00,436.38
2021-01-03 20:00:00,437.17
2021-01-03 21:00:00,438.49
2021-01-03 22:00:00,451.81
2021-01-03 23:00:00,467.34
2021-01-04 00:00:00,469.82
2021-01-04 01:00:00,488.18
2021-01-04 02:00:00,476.9
2021-01-04 03:00:00,502.39
2021-01-04 04:00:00,505.08
2021-01-04 05:00:00,507.14
2021-01-04 06:00:00,510.46
2021-01-04 07:00:00,498.7
2021-01-04 08:00:00,503.54
2021-01-04 09:00:00,500.07
2021-01-04 10:00:00,497.39
2021-01-04 11:00:00,477.76
2021-01-04 12:00:00,465.96
2021-01-04 13:00:00,457.14
2021-01-04 14:00:00,454.58
2021-01-04 15:00:00,443.36
2021-01-04 16:00:00,432.71
2021-01-04 17:00:00,433.93
2021-01-04 18:00:00,430.49
2021-01-04 19:00:00,436.21
2021-01-04 20:00:00,431.85
2021-01-04 21:00:00,440.08
2021-01-04 22:00:00,448.04
2021-01-04 23:00:00,452.33
2021-01-05 00:00:00,471.48
2021-01-05 01:00:00,481.66
2021-01-05 02:00:00,490.03
2021-01-05 03:00:00,497.11
2021-01-05 04:00:00,497.56
2021-01-05 05:00:00,506.53
2021-01-05 06:00:00,508.29
2021-01-05 07:00:00,504.63
2021-01-05 08:00:00,503.83
2021-01-05 09:00:00,500.3
2021-01-05 10:00:00,499.43
2021-01-05 11:00:00,481.23
2021-01-05 12:00:00,471.29
2021-01-05 13:00:00,459.28
2021-01-05 14:00:00,440.41
2021-01-05 15:00:00,441.58
2021-01-05 16:00:00,435.66
2021-01-05 17:00:00,443.68
2021-01-05 18:00:00,429.04
2021-01-05 19:00:00,432.87
2021-01-05 20:00:00,435.19
2021-01-05 21:00:00,435.87
2021-01-05 22:00:00,455.71
2021-01-05 23:00:00,463.41
2021-01-06 00:00:00,473.96
2021-01-06 01:00:00,475.81
2021-01-06 02:00:00,497.01
2021-01-06 03:00:00,491.28
2021-01-06 04:00:00,507.58
2021-01-06 05:00:00,519.59
2021-01-06 06:00:00,505.05
2021-01-06 07:00:00,505.81
2021-01-06 08:00:00,505.14
2021-01-06 09:00:00,495.77
2021-01-06 10:00:00,482.25
2021-01-06 11:00:00,480.7
2021-01-06 12:00:00,464.69
2021-01-06 13:00:00,462.02
2021-01-06 14:00:00,445.4
2021-01-06 15:00:00,449.47
2021-01-06 16:00:00,431.44
2021-01-06 17:00:00,429.75
2021-01-06 18:00:00,434.07
2021-01-06 19:00:00,425.21
2021-01-06 20:00:00,436.5
2021-01-06 21:00:00,448.25
2021-01-06 22:00:00,441.96
2021-01-06 23:00:00,460.57
2021-01-07 00:00:00,471.3
2021-01-07 01:00:00,484.26
2021-01-07 02:00:00,483.82
2021-01-07 03:00:00,491.68
2021-01-07 04:00:00,507.25
2021-01-07 05:00:00,510.12
2021-01-07 06:00:00,511.25
